Benchmark,manual,custom,adams2019,adams2019Halide
bgu,5.0,14.0,15.0,11.0
bilateral_grid,3.0,4.0,4.0,3.0
camera_pipe,3.0,6.0,6.0,5.0
conv_layer,2.0,3.0,3.0,3.0
depthwise_separable_conv,nan,3.0,3.0,3.0
harris,3.0,3.0,3.0,3.0
hist,2.0,4.0,4.0,3.0
iir_blur,3.0,3.0,3.0,3.0
interpolate,5.0,11.0,12.0,9.0
lens_blur,5.0,30.0,25.0,19.0
local_laplacian,5.0,26.0,34.0,22.0
max_filter,3.0,4.0,3.0,3.0
nl_means,3.0,4.0,5.0,4.0
stencil_chain,5.0,7.0,6.0,6.0
unsharp,3.0,3.0,3.0,3.0
